Designator,Qty,Value/Part,Footprint,MPN (example),LCSC/JLC PN (VERIFY),Place,JLC lib,Block,Notes
U1,1,ESP32-S3-WROOM-1-N16R8,Module SMD,ESP32-S3-WROOM-1-N16R8,C2913202,Hand,Extended,MCU,"16MB/8MB PSRAM; SMD castellated -- reflow-friendly if you'd rather JLCPCB place it. N8R2 cheaper"
U2,1,PCM5102APWR,TSSOP-20,PCM5102APWR,C107672,JLCPCB SMT,Extended,Audio DAC,"I2S DAC line-out; internal PLL (no MCLK)"
U3,1,PAM8302AASCR,SOIC-8,PAM8302AASCR,C113367,JLCPCB SMT,Extended,Speaker amp,"2.5W mono class-D; SD=AMP_EN; VDD from VSYS"
U4,1,TP4056 (ESOP-8),ESOP-8,TP4056-42-ESOP8,C382139,JLCPCB SMT,Basic?,Charger,"Very common -- likely Basic; verify. MCP73831 is an alt"
U5,1,DW01A,SOT-23-6,DW01A,C351410,JLCPCB SMT,Basic,Batt protect,"OPTIONAL -- omit if the cell has a built-in protection PCB"
U6,1,FS8205A,SOT-23-6,FS8205A,C32254,JLCPCB SMT,Basic,Batt protect,"OPTIONAL -- pairs with U5"
U7,1,TPS63020DSJR,SON-12,TPS63020DSJR,C167307,JLCPCB SMT,Extended,Regulator,"Buck-boost 3.3V; pricey line -- a plain buck/LDO is cheaper if you accept less low-batt runtime"
U8,1,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6,C7519,JLCPCB SMT,Basic,USB ESD,"D+/D-/VBUS ESD"
MK1,1,INMP441,LGA,INMP441,C135926,JLCPCB SMT,Extended,Mic,"Bottom-ported LGA -- REFLOW ONLY; needs an acoustic hole under the port"
Q1,2,2N7002,SOT-23,2N7002,C8545,JLCPCB SMT,Basic,FET,"Backlight PWM FET + soft-latch Q_HOLD (2x)"
QP,1,AO3401A,SOT-23,AO3401A,C15127,JLCPCB SMT,Basic,Power,"Soft-latch Q_PWR: P-FET high-side VBAT->VSYS"
DP,1,BAT54,SOD-323,BAT54,C37934,JLCPCB SMT,Basic,Power,"Soft-latch D_BTN Schottky (centre-button power-on)"
R10K,9,10k,0402,RC0402FR-0710KL,C25744,JLCPCB SMT,Basic,Various,"EN/IO0 pull-ups, microSD pull-ups, TP4056 TEMP divider, spares"
R4K7,2,4.7k,0402,RC0402FR-074K7L,C51721,JLCPCB SMT,Basic,Touch,"I2C touch pull-ups"
R5K1,2,5.1k,0402,RC0402FR-075K1L,C99257,JLCPCB SMT,Basic,USB-C,"CC1/CC2 Rd (sink)"
R1K2,1,1.2k,0402,RC0402FR-071K2L,C25749,JLCPCB SMT,Basic,Charger,"TP4056 PROG ~1A (1.5k for ~0.8A) [TUNE]"
R1K,2,1k,0402,RC0402FR-071KL,C11702,JLCPCB SMT,Basic,Charger,"status LED series (optional)"
R100K,8,100k,0402,RC0402FR-07100KL,C25741,JLCPCB SMT,Basic,Reg/Amp,"TPS EN/PG, PAM SD pull-down, TPS FB R2, + 2x battery-sense divider"
R560K,1,560k,0402,RC0402FR-07560KL,C118428,JLCPCB SMT,Basic,Regulator,"TPS FB R1 (with 100k -> 3.30V)"
R20K,2,20k,0402,RC0402FR-0720KL,C25765,JLCPCB SMT,Basic,Speaker amp,"PAM input / L+R sum / gain"
R100,2,100R,0402,RC0402FR-07100RL,C25076,JLCPCB SMT,Basic,Audio DAC,"DAC line-out series R"
R0,4,0R,0402,RC0402JR-070RL,C25085,JLCPCB SMT,Basic,Audio DAC,"PCM5102 config straps (or hardwire in copper)"
C100N,16,100nF,0402,CL05B104KO5NNNC,C1525,JLCPCB SMT,Basic,Decoupling,"per-IC supply decoupling + spares"
C1U,3,1uF,0402,CL05A105KA5NQNC,C52923,JLCPCB SMT,Basic,Various,"EN RC, PCM5102 LDOO, spare"
C2U2,4,2.2uF,0603,CL10A225KO8NNNC,C23630,JLCPCB SMT,Basic,Audio DAC,"charge-pump/VNEG + line-out DC-block"
C2N2,2,2.2nF,0402,CL05B222KB5NNNC,C1550,JLCPCB SMT,Basic,Audio DAC,"output RC filter (optional)"
C10U,10,10uF,0805,CL21A106KAYNNNE,C15850,JLCPCB SMT,Basic,Bulk,"3V3 bulk, TP4056 VCC+BAT, TPS Vin x2, PAM VDD, USB VBUS"
C22U,2,22uF,0805,CL21A226MAQNNNE,C45783,JLCPCB SMT,Basic,Regulator,"TPS Vout"
L1,1,1.5uH,SMD ~4x4mm,74479276215,C408412,JLCPCB SMT,Extended,Regulator,"TPS inductor; Isat >= 3A, shielded, low DCR"
FB1,2,600R@100MHz,0603,BLM18PG601SN1D,C1015,JLCPCB SMT,Basic,Speaker amp,"PAM output EMI (optional)"
J1,1,USB-C 2.0 16P,SMD,TYPE-C-31-M-12,C165948,Hand,-,USB-C,"charge + native USB data"
J2,1,microSD push-push,SMD,TF-01A,C91145,Hand,-,Storage,"SPI mode"
J3,1,Display header 1x14 2.54,THT,-,VERIFY,Hand,-,Display,"match your module pinout (header or FPC)"
J4,1,Speaker JST-PH 2P,THT,B2B-PH-K-S,C157925,Hand,-,Speaker,"to 28mm driver"
J5,1,Battery JST-PH 2P,THT,B2B-PH-K-S,C157925,Hand,-,Power,"mates LP603449 PHR-02"
J6,1,3.5mm TRS jack,SMD,PJ-31760,C143992,Hand,-,Headphone,"stereo line-out"
SW1,1,Tactile (RESET/EN),SMD,TS-1187A,C318884,Hand,-,MCU,"covered by lid; easy JLCPCB SMT if you prefer"
SW2,1,Tactile (BOOT/IO0),SMD,TS-1187A,C318884,Hand,-,MCU,"covered by lid"
SW4,1,5-way nav + center,THT,SKQUCAA010,VERIFY,Hand,-,Nav,"9.9mm square body; 5 GPIOs + common GND"
D1,1,LED green 0603,0603,-,C72043,JLCPCB SMT,Basic,Power,"status (optional)"
D2,1,LED red 0603,0603,-,C2286,JLCPCB SMT,Basic,Charger,"CHRG (optional)"
